exp_subject_id,Task_Name,space_press1,space_press2
377777,8B_2,"""times=1645569371758;1645569388791;1645569422227;1645569436764---values=;17032;50468;65005""","""times=1645569371758;1645569472180;1645569488465;1645569506034;1645569520298---values=;17059;33344;50913;65177"""
377777,2B_1,"""times=1645569201571;1645569205087;1645569206372;1645569211000;1645569214087;1645569218238;1645569222602;1645569224934;1645569228967;1645569238550;1645569246295;1645569250994;1645569260060;1645569263549;1645569270307;1645569276767;1645569278677---values=;3514;4799;9427;12514;16665;21029;23361;27393;36977;44722;49421;58487;61976;68733;75194;77104""","""times=1645569301872;1645569312685;1645569322471;1645569330656;1645569346233;1645569363030---values=16924;27737;37522;45708;61284;78082"""
377777,intact_3,"""times=1645569026262;1645569045530---values=;19268""","""times=1645569026262---values="""
377777,2B_2,"""times=1645568741120;1645568750411;1645568754151;1645568762180;1645568766197;1645568773053;1645568773896;1645568778608;1645568779667;1645568787677;1645568790409;1645568794100;1645568801766;1645568806082;1645568809969;1645568812166;1645568814349;1645568819173;1645568820540---values=;9289;13029;21058;25075;31931;32774;37485;38545;46555;49287;52978;60644;64960;68847;71044;73227;78051;79418""","""times=1645568741121;1645568833572;1645568837174;1645568841622;1645568845311;1645568854876;1645568857033;1645568865318;1645568873651;1645568875121;1645568877217;1645568881961;1645568885209;1645568886932;1645568889138;1645568893207;1645568895405;1645568898997;1645568903580---values=;9095;12697;17145;20834;30399;32556;40841;49174;50644;52740;57484;60732;62455;64661;68730;70927;74520;79103"""
377777,8B_1,"""times=1645568562034;1645568581801;1645568599254;1645568630537---values=;19766;37219;68502""","""times=1645568562034;1645568670422;1645568680281;1645568686318;1645568718465---values=;20539;30398;36435;68582"""
377777,1B_3,"""times=1645568389862;1645568395476;1645568399010;1645568400899;1645568410384;1645568425410;1645568429306;1645568435028;1645568440004;1645568443416;1645568448770;1645568452250;1645568459225---values=;5613;9147;11036;20521;35547;39443;45165;50141;53553;58907;62387;69361""","""times=1645568389862;1645568479790;1645568485963;1645568494692;1645568516191;1645568524175;1645568527384;1645568530696;1645568534184;1645568536010;1645568538365;1645568542302;1645568544749;1645568545830;1645568552135;1645568553444---values=;5090;11263;19992;41491;49475;52684;55996;59483;61310;63665;67602;70048;71130;77435;78744"""
377777,1B_1,"""times=1645568140884;1645568144157;1645568148256;1645568171684;1645568174701;1645568176733;1645568184747;1645568203097;1645568207044;1645568211791;1645568220413---values=;3272;7371;30799;33816;35848;43862;62212;66159;70906;79528""","""times=1645568140884;1645568228418;1645568229331;1645568230356;1645568233910;1645568239856;1645568242617;1645568244073;1645568251101;1645568259800;1645568267161;1645568268924;1645568271302;1645568274363;1645568278130;1645568281690;1645568289108;1645568297643;1645568299266;1645568303809---values=;4166;5079;6104;9658;15604;18365;19821;26849;35548;42909;44672;47050;50111;53878;57438;64856;73391;75014;79557"""
377777,2B_3,"""times=1645567949713;1645567954872;1645567959196;1645567967381;1645567975733;1645567979152;1645567983410;1645567990687;1645567997090;1645567999573;1645568003652;1645568007760;1645568012973;1645568014738;1645568018674---values=;5159;9483;17667;26020;29439;33697;40974;47377;49860;53939;58047;63260;65025;68961""","""times=1645567949713;1645568039394;1645568042923;1645568043959;1645568047643;1645568052250;1645568057808;1645568061187;1645568063401;1645568067622;1645568070637;1645568073058;1645568075921;1645568078734;1645568084953;1645568088077;1645568089496;1645568092719;1645568097749;1645568101881;1645568108205---values=;4793;8322;9358;13041;17649;23207;26586;28800;33021;36036;38457;41320;44132;50351;53476;54895;58118;63147;67280;73604"""
377777,intact_1,"""times=1645567782482;1645567817938---values=;35456""","""times=1645567782482;1645567925842;1645567931059;1645567932166---values=;61475;66692;67799"""
377777,1B_2,"""times=1645567501983;1645567515823;1645567529797;1645567537792;1645567555182;1645567557500;1645567561371;1645567571272;1645567579680---values=;13839;27812;35808;53198;55516;59387;69288;77696""","""times=1645567501983;1645567588961;1645567595628;1645567598572;1645567613765;1645567638254;1645567640607;1645567644728;1645567646415;1645567654451;1645567662562---values=;3591;10259;13202;28396;52885;55238;59359;61046;69082;77193"""
377777,intact_2,"""times=1645567331521;1645567363639;1645567381301---values=;32117;49779""","""times=1645567331521;1645567463801---values=;48917"""
377777,8B_3,"""times=1645567228758---values=61328""","""times=1645567167430;1645567309067---values=;61234"""
377777,practice_task,NA,NA
377770,intact_1,"""times=1645568445490;1645568458685;1645568480401;1645568512202---values=;13188;34904;66705""","""times=1645568445490;1645568562494;1645568594372---values=;35119;66997"""
377770,1B_3,"""times=1645568272121;1645568279197;1645568284697;1645568289449;1645568293101;1645568299107;1645568301208;1645568306785;1645568317554;1645568319292;1645568321470;1645568325309;1645568329610;1645568333328;1645568341270;1645568343140;1645568350796---values=;7072;12572;17324;20976;26982;29083;34660;45429;47167;49345;53184;57485;61203;69145;71015;78671""","""times=1645568272121;1645568361851;1645568365581;1645568369464;1645568371829;1645568377505;1645568385524;1645568391717;1645568395930;1645568402079;1645568405940;1645568410417;1645568418271;1645568426092;1645568436311---values=;4856;8586;12469;14834;20510;28529;34722;38935;45084;48945;53422;61276;69097;79316"""
377770,2B_3,"""times=1645568098064;1645568112083;1645568118308;1645568123269;1645568132829;1645568139286;1645568143257;1645568151782;1645568155302;1645568162045;1645568166214---values=;14012;20237;25198;34758;41215;45186;53711;57231;63974;68143""","""times=1645568098064;1645568187907;1645568196047;1645568203296;1645568208994;1645568216023;1645568220467;1645568224328;1645568228354;1645568235834;1645568239784;1645568246087;1645568258033---values=;4973;13113;20362;26060;33089;37533;41394;45420;52900;56850;63153;75099"""
377770,intact_2,"""times=1645567804208;1645567817170;1645567823473;1645567835529;1645567849147;1645567853305;1645567869585---values=;12961;19264;31320;44938;49096;65376""","""times=1645567804208;1645567900375;1645567907701;1645567918602;1645567932671;1645567937566;1645567953296---values=;12796;20122;31023;45092;49987;65717"""
377770,1B_2,"""times=1645567634317;1645567644819;1645567649230;1645567652750;1645567657591;1645567664784;1645567678942;1645567689546;1645567694376;1645567703770;1645567709743;1645567714066---values=;10498;14909;18429;23270;30463;44621;55225;60055;69449;75422;79745""","""times=1645567634317;1645567726804;1645567734966;1645567741115;1645567747858;1645567754920;1645567762202;1645567770815;1645567778207;1645567786755;1645567791848---values=;9105;17267;23416;30159;37221;44503;53116;60508;69056;74149"""
377770,8B_3,"""times=1645567470967;1645567484230;1645567493624;1645567499102;1645567503887;1645567519847;1645567535071;1645567542848---values=;13260;22654;28132;32917;48877;64101;71878""","""times=1645567470967;1645567564233;1645567584088;1645567600049;1645567612732---values=;12852;32707;48668;61351"""
377770,2B_1,"""times=1645567159340;1645567173222;1645567181198;1645567188886;1645567196202;1645567208698;1645567216113;1645567224682;1645567229170;1645567235814---values=;13880;21856;29544;36860;49356;56771;65340;69828;76472""","""times=1645567159340;1645567248145;1645567255955;1645567260135;1645567264194;1645567268132;1645567271916;1645567278505;1645567292695;1645567299427;1645567307931;1645567311990;1645567316235---values=;5432;13242;17422;21481;25419;29203;35792;49982;56714;65218;69277;73522"""
377770,8B_2,"""times=1645566989687;1645567009036;1645567022995;1645567037734;1645567055951---values=;19344;33303;48042;66259""","""times=1645566989687;1645567090228;1645567099501;1645567108752;1645567121061;1645567137880---values=;17152;26425;35676;47985;64804"""
377770,intact_3,"""times=1645566814784;1645566833275;1645566850216;1645566866199---values=;18484;35425;51408""","""times=1645566814784;1645566919285;1645566952606---values=;18131;51452"""
377770,1B_1,"""times=1645566555036;1645566560285;1645566569030;1645566583584;1645566590854;1645566597851;1645566620094;1645566631919---values=;5245;13990;28543;35814;42811;65054;76879""","""times=1645566555036;1645566645999;1645566654018;1645566671827;1645566682430;1645566698502;1645566710206---values=;7581;15600;33409;44012;60084;71788"""
377770,8B_1,"""times=1645566376721;1645566395670;1645566412071;1645566423775;1645566445522---values=;18947;35348;47052;68799""","""times=1645566376721;1645566483472;1645566499907;1645566518530;1645566534381---values=;18913;35348;53971;69822"""
377770,2B_2,"""times=1645566164680;1645566174008;1645566191936;1645566209525;1645566229446---values=;9326;27254;44843;64764""","""times=1645566164680;1645566274052;1645566287351;1645566295062;1645566318327---values=;25993;39292;47003;70268"""
377770,practice_task,"""times=1645565849186;1645565858478;1645565866466;1645565882515---values=16131;25423;33411;49460""","""times=1645565920388;1645565936393;1645565952596---values=17921;33926;50129"""
377747,1B_3,"""times=1645563994378;1645563999455;1645564005394;1645564013322;1645564025047;1645564046389;1645564054489;1645564065750;1645564074632---values=;5071;11010;18938;30663;52005;60105;71366;80248""","""times=1645563994378;1645564086982;1645564097145;1645564105445;1645564110525;1645564118626;1645564125876;1645564131480;1645564139422;1645564150688;1645564160518---values=;7732;17895;26195;31275;39376;46626;52230;60172;71438;81268"""
377747,2B_3,"""times=1645563819747;1645563822327;1645563841238;1645563845994;1645563865040;1645563874066;1645563877506;1645563885714;1645563886677---values=;2576;21487;26243;45289;54315;57755;65963;66926""","""times=1645563819747;1645563913913;1645563924268;1645563929938;1645563938285;1645563944757;1645563950582;1645563957793;1645563961429;1645563969853;1645563976280;1645563984390---values=;9285;19640;25309;33657;40129;45954;53165;56801;65225;71652;79762"""
377747,intact_1,"""times=1645563627999;1645563629250;1645563634217;1645563642610;1645563654545;1645563665103;1645563673740;1645563677855;1645563689622;1645563696558---values=;1244;6211;14604;26539;37097;45734;49849;61616;68552""","""times=1645563627999;1645563713486;1645563717829;1645563723514;1645563726540;1645563739344;1645563754410;1645563770551;1645563776855;1645563786895---values=;3569;7912;13597;16622;29427;44493;60634;66938;76978"""
377747,8B_3,"""times=1645563342483;1645563344837;1645563356075;1645563358946;1645563371101;1645563376849;1645563386495;1645563394358;1645563404322;1645563409893;1645563414186;1645563414559;1645563414741---values=;2352;13590;16461;28616;34364;44010;51873;61837;67408;71701;72074;72256""","""times=1645563342483;1645563425000;1645563432017;1645563435008;1645563453028;1645563466226;1645563469083;1645563471542---values=;1929;8946;11937;29957;43155;46012;48471"""
377747,1B_2,"""times=1645563163438;1645563182245;1645563187813;1645563205539;1645563206490;1645563215598;1645563224367---values=;18805;24373;42099;43050;52158;60927""","""times=1645563163438;1645563260150;1645563263836;1645563269225;1645563278697;1645563296774;1645563302941;1645563307286;1645563313028;1645563322349---values=;13334;17020;22409;31881;49958;56125;60470;66212;75533"""
377747,intact_2,"""times=1645562953342;1645562964231;1645562975395;1645562990870;1645563003555---values=;10879;22044;37519;50204""","""times=1645562953342;1645563045866;1645563063211;1645563082495;1645563087245;1645563102296---values=;9129;26474;45758;50508;65559"""
377747,2B_1,"""times=1645562750143;1645562764483;1645562779511;1645562796028;1645562814619---values=;14333;29361;45878;64469""","""times=1645562750143;1645562850357;1645562856751;1645562863278;1645562882779;1645562888609;1645562909414---values=;16820;23214;29741;49242;55072;75877"""
